Time	R_GnRH_a	R_GnRH_i	GnRH_R_i	GnRH	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	PrF	GnRH_R_a	InhA	Lut4	FSH_R	R_LH	AF2	Sc2	Lut2	R_FSH	LH_R	freq	mass
50	0.00924273	0.000935599	1.10459E-05	0.0027114	2.65194	0.276339	2.79865	8.66956E-06	30.221	258743	0.00548587	0.0621849	1.05312E-19	14.6485	1.11581	0.0734796	2.22217	0.69379	3.25319E-05	163.226	33761.4	179.053	0.210016	1.19945E-05	6.90111	0.0949913	0.49222	8.41733	11.1476	0.00101894	0.0231981	6.89197	0.260885	0.118721	0.00251319
51	0.0092589	0.000933296	7.17383E-06	0.00176175	2.65271	0.293521	2.75218	9.24843E-06	33.1301	258817	0.0025635	0.043596	9.64148E-20	12.4672	1.1005	0.0673597	2.16504	0.693975	9.59863E-06	157.359	33367.9	154.179	0.210034	7.80619E-06	5.31336	0.0795627	0.485552	8.41707	12.4538	0.000404277	0.0132648	6.91395	0.260954	0.150954	0.00217001
52	0.00927	0.000932356	5.15454E-06	0.00126936	2.65378	0.31159	2.7507	9.84542E-06	36.229	258920	0.00116987	0.0291921	9.24795E-20	10.0013	1.09966	0.0646905	2.12741	0.694219	2.83212E-06	146.858	33407.3	126.715	0.210053	5.63E-06	3.9773	0.0628999	0.48531	8.41673	13.722	0.00015904	0.00732244	6.91503	0.261047	0.227979	0.00178715
53	0.00927769	0.00093231	4.36282E-06	0.00107975	2.65721	0.330926	2.82029	1.04888E-05	39.4339	259252	0.000524045	0.0188559	9.45395E-20	7.66327	1.12161	0.066028	2.11578	0.695011	8.35628E-07	133.634	34248.3	100.979	0.210073	4.79149E-06	2.92853	0.0474999	0.495205	8.41564	14.9865	6.21764E-05	0.00393224	6.88318	0.261349	0.383102	0.00145883
54	0.00928252	0.000932986	4.57992E-06	0.00114071	2.66446	0.352217	3.00309	1.12199E-05	42.8097	259951	0.000231268	0.0118347	1.05812E-19	5.66637	1.17896	0.0733467	2.14252	0.696696	2.46556E-07	119.266	36397.4	79.2187	0.210095	5.06275E-06	2.14672	0.0345682	0.520817	8.41332	16.2994	2.41959E-05	0.00206572	6.80022	0.261988	0.686808	0.00124648
55	0.00928369	0.000934545	6.06177E-06	0.00151963	2.67668	0.376609	3.34739	1.21083E-05	46.5318	261125	0.000100824	0.00725739	1.30581E-19	4.07793	1.28382	0.0887971	2.22008	0.699539	7.27473E-08	104.912	40384.4	62.1427	0.210124	6.74292E-06	1.58661	0.024407	0.567456	8.4094	17.7394	9.38345E-06	0.00106603	6.64872	0.263064	1.27508	0.00116169
56	0.00927838	0.000937646	9.76589E-06	0.00246118	2.69484	0.405714	3.87764	1.327E-05	50.8503	262867	4.35126E-05	0.00436673	1.69609E-19	2.87854	1.43708	0.111146	2.34268	0.703767	2.14644E-08	91.3291	46346.4	49.5449	0.210162	1.09118E-05	1.19769	0.0168056	0.635392	8.40357	19.4071	3.62959E-06	0.000542162	6.42753	0.264662	2.36891	0.00117779
57	0.00926116	0.000943578	1.75499E-05	0.00443824	2.7197	0.441373	4.56608	1.48421E-05	55.9934	265238	1.86197E-05	0.00258657	2.18801E-19	2.00836	1.62205	0.136042	2.47055	0.709554	6.33317E-09	78.9495	53454.8	40.789	0.210216	1.9639E-05	0.934339	0.0113311	0.717159	8.3956	21.3919	1.40121E-06	0.00027242	6.16079	0.266847	4.20935	0.00125144
58	0.00922561	0.00095387	3.15772E-05	0.00800498	2.75348	0.48551	5.36064	1.69937E-05	62.0413	268250	7.91027E-06	0.00151229	2.96009E-19	1.39668	1.81761	0.17348	2.55346	0.717386	1.86863E-09	67.9676	59676.5	35.1089	0.210291	3.52886E-05	0.75965	0.00750546	0.803488	8.38481	23.7251	5.40132E-07	0.000135509	5.8789	0.269808	6.79505	0.00133985
59	0.00917035	0.000968791	5.21867E-05	0.013265	2.81908	0.541033	6.26898	2.0439E-05	68.9161	271855	3.33972E-06	0.000874589	5.02953E-19	0.977545	2.02025	0.2643	2.56921	0.732371	5.51347E-10	58.4169	62900.2	31.7901	0.210418	5.8137E-05	0.645737	0.00489683	0.892982	8.36411	26.3764	2.07972E-07	6.68363E-05	5.58677	0.275524	9.61766	0.00141163
60	0.00910425	0.00098605	7.61187E-05	0.0194144	3.0327	0.613971	7.28427	2.96446E-05	76.466	275929	1.40234E-06	0.000501148	1.17371E-18	0.696323	2.22461	0.424901	2.52407	0.780502	1.62677E-10	50.2333	62954.6	30.343	0.210695	8.4492E-05	0.572557	0.00315358	0.983043	8.29757	29.2874	8.00083E-08	3.27276E-05	5.29234	0.29393	11.9697	0.00144864
61	0.00904204	0.0010019	9.8132E-05	0.0251159	3.59751	0.718495	8.14909	6.29522E-05	84.4277	280251	5.85864E-07	0.000284878	4.25164E-18	0.510886	2.38342	0.623091	2.44823	0.905215	4.79984E-11	43.2988	60868.7	30.6521	0.211555	0.000108578	0.526316	0.00200794	1.05259	8.12549	32.3564	3.07593E-08	1.59236E-05	5.064	0.341292	13.5449	0.00144042
62	0.00899532	0.00101342	0.000114197	0.029301	4.47011	0.894191	8.54687	0.000166501	92.4035	284550	2.43568E-07	0.000160799	2.0337E-17	0.390386	2.45298	0.834276	2.38659	1.08991	1.4162E-11	37.4742	57584.1	32.8751	0.215118	0.000126034	0.498411	0.00126563	1.08258	7.87125	35.4298	1.18195E-08	7.70276E-06	4.96444	0.410842	14.4687	0.00138626
63	0.00896822	0.00101965	0.000123003	0.0315951	5.22826	1.2132	8.41155	0.000384027	99.9793	288688	1.00809E-07	9.02048E-05	1.01344E-16	0.31308	2.43143	1.04939	2.36549	1.24276	4.17855E-12	32.6221	53788.9	37.1976	0.228506	0.000135507	0.485668	0.00079065	1.07249	7.66133	38.3483	4.53996E-09	3.70692E-06	4.99608	0.467913	14.9803	0.00130279
64	0.00895775	0.00102148	0.00012577	0.0323058	5.5642	1.71636	7.91003	0.000669181	106.921	292732	4.15693E-08	5.03448E-05	6.72116E-16	0.264055	2.34488	1.26549	2.38409	1.30879	1.23289E-12	28.6289	49943.1	43.4051	0.263673	0.000138401	0.490005	0.000490131	1.03395	7.57092	41.0223	1.74332E-09	1.77641E-06	5.12117	0.492286	15.2611	0.00122253
